userName,komentar
Dhian Berlian Windyartie,"MOHON MAAF SEJAUH INI MAXIM MAKIN BURUK PELAYANAN !! JASA YG TERBURUK YG PERNAH ADA !! SAYA GA SENGAJA KEPENCET, DAN SAYA BATALIN ORDER MALAH MARAH² MELEDAK2 ! DAN MINTA NOMOR SAYA ! JGN LAGI DEH JASA KEK BEGINI DI ADAIN !!! TOXIC BNER !!!"
Vivo Y30,"driver ramah, orderan cepat datangnya"
Herno Yudiansyah,Peta nya belum lengkap.. di google sdh ada tapi di aplikasi belum update. Jadi susah nentukan titik yg tepat. Jadi driver sring salah titik jemput yg sebenarnya.
Dearthy Ocha,thx driver
Yuni Yuningsih,Susahh login
Lek Antok,"nyaman, cepat dan ramah drivernya"
Desti Evariolita,sangat puas terima kasih
Diana Sari,"Hari ini 15/08/2023 order dr kramat raya menuju SMAN 1, sesdh pengantaran sy tekan jempol utk driver tp kok langsung hilang ya orderannya... Utk maxim tolong titik jemput n tujuan bisa sesuai dgn map. Jdnya sy sll ketik ancer2 alamat, ada driver yg marah2 krn dia tdk bs baca ancer2nya dia blg emangnya driver disuruh cari alamat...lha kan emang harusnya begitu...bikin kesal aja tuh org jd telat anak sy sekolah. Dan tolong Titik2 lokasi dibuat yg umum jd tdk membingungkan."
Nelly marta Galingging,baik
hamidah mitan,"Sya Tgl di Kota Kupang-NTT, Bbrp waktu lalu sya menggunakan Maxim dg biaya di apk berbeda dg biaya yg di minta Driver, sya di minta menambah 20rb dri biaya yg sdh tertera di Apk dg alasan sya membawa tas punggung, Driver mengatakan itu adalah aturan terbaru dri pihak Maxim untuk penambahan biaya tas, Mohon di tindak TEGAS driver NAKAL dan TIDAK JUJUR sprti itu shingga tdk merugikan kami sbg Konsumen"
Achaa Ajadeh25,Mantapp
Andam Sari,"Tolong dong maxim lebih di update lagi aplikasi nya biar makin nyaman di gunakan .. jgn ongkos aja yg makin di murahin , kasian driver nya juga .. tiap pekan ada aja email dari maxim nawarin gabung jd driver .. tp apl nya mentok ga ada update² , itu para penipu² yg tiap hari ada bikin orderan fiktif juga di tindak dong biar ga makin ngerugiin driver, bersaing dong ama si ijo .."
Mita Latagu,Pelayanan buruk dan jelek udah di tunggu lama2 baru gk datang2 udah bayak kali kayak gitu
Meirizaldy Satria,Gak ada etika nya costumer naik driver udah kaya jongos babu mampir k sana kemari nurutin costumer.
Hendra Kusuma,"thanks Pak, semangat mencari rezeki"
hendra saputra,"Tolong mapss nya di perbaiki Xim biar mudah yg pesen,,adain lewat serlokan bisa jadi titik di apk.."
Rizka Rachmawati,"Untuk menu foodnya di perbaiki lah developernya, serius tidak user friendly, masak mau pesen makan aja ongkirnya tiba"" 35k an, tidak ada rincian terlebih dahulu dan tidak ada verifikasi mau melanjutkan apa tidak orderannya,"
Kimin Obok,sangat aman dan cepat 👍
Dhani Saputro,Sampai detik ini selalu puas dengan pelayanan driver maxim
Putra Daerah,tks
Amelda Yulianti,"driver nya ramah,pokoknya biar bintang yang menjelaskan"
Ando Silaen,bagus
